LONG,LAT,PROB,SEIZURE,YEAR
10.79655797,2.133354783,0.136367423,A,2018
11.36975942,4.999362029,0.151521873,A,2018
10.79655797,2.133354783,0.110811135,A,2018
14.23576667,3.279757681,0.439589282,A,2018
14.23576667,3.279757681,0.286530659,A,2018
10.22335652,2.133354783,0.072082693,A,2018
11.36975942,2.133354783,0.357226134,A,2018
11.36975942,4.999362029,0.110170341,A,2018
14.23576667,3.279757681,0.221480364,A,2018
10.22335652,2.133354783,0.445231672,A,2018
9.076953623,5.572563478,0.256277471,A,2018
14.23576667,3.279757681,0.125965786,A,2018
11.36975942,4.999362029,0.055621197,A,2018
12.51616232,2.706556232,0.132068774,A,2018
11.36975942,2.133354783,0.114558321,A,2018
13.66256522,4.999362029,0.050608435,A,2018
11.36975942,4.999362029,0.06049408,A,2018
10.22335652,2.706556232,0.155314766,A,2018
10.22335652,2.706556232,0.194783018,A,2018
10.79655797,2.133354783,0.228461226,A,2018
14.23576667,3.279757681,0.876672771,A,2018
10.22335652,2.706556232,0.222697642,A,2018
10.22335652,2.133354783,0.211504881,A,2018
10.22335652,2.133354783,0.113297776,A,2018
10.22335652,2.133354783,0.238621778,A,2018
11.36975942,2.133354783,0.152965319,A,2018
11.36975942,2.133354783,0.103666157,A,2018
14.23576667,3.279757681,0.465793976,A,2018
10.22335652,2.133354783,0.170500476,A,2018
13.66256522,2.706556232,0.166498701,A,2018
12.51616232,2.706556232,0.154821416,A,2018
10.79655797,2.133354783,0.14017942,A,2018
10.22335652,2.706556232,0.198646771,A,2018
10.22335652,2.133354783,0.585004297,A,2018
12.51616232,2.706556232,0.1876479,A,2018
12.51616232,2.706556232,0.203005027,A,2018
11.36975942,2.133354783,0.183230514,A,2018
13.66256522,3.279757681,0.129131351,A,2018
14.23576667,3.279757681,0.189127483,A,2018
9.650155072,4.999362029,0.065364444,A,2018
12.51616232,2.706556232,0.12521294,A,2018
13.66256522,4.999362029,0.132964491,A,2018
10.22335652,2.133354783,0.184243603,A,2018
11.94296087,2.133354783,0.271253542,A,2018
11.36975942,2.133354783,0.237447986,A,2018
11.36975942,2.133354783,0.113735393,A,2018
10.22335652,2.706556232,0.439120837,A,2018
11.36975942,2.133354783,0.32019298,A,2018
10.79655797,2.706556232,0.049717655,A,2018
11.36975942,2.133354783,0.179189922,A,2018
10.22335652,2.706556232,0.352205341,A,2018
10.79655797,2.133354783,0.19378989,A,2018
11.36975942,2.133354783,0.256938954,A,2018
14.23576667,3.279757681,0.658182707,A,2018
10.79655797,2.133354783,0.314327678,A,2018
13.08936377,2.706556232,0.177314533,A,2018
11.36975942,2.133354783,0.129347956,A,2018
14.23576667,3.279757681,0.227920331,A,2018
14.23576667,3.279757681,0.827728825,A,2018
12.51616232,2.706556232,0.225240367,A,2018
11.36975942,2.133354783,0.163859178,A,2018
11.36975942,2.133354783,0.241654422,A,2018
9.650155072,5.572563478,0.144538693,A,2018
11.36975942,4.999362029,0.076910592,A,2018
14.23576667,3.279757681,0.058233844,A,2018
11.36975942,2.133354783,0.332958688,A,2018
10.79655797,2.133354783,0.091095204,A,2018
10.22335652,2.706556232,0.197029313,A,2018
